Id,Camera,framePosition,pos.x,pos.y,camerapos.x,camerapos.y
2,0,352,18.5938,17.0833,748.194,345.379
2,0,353,18.2031,16.3194,747.952,343.833
2,0,354,18.5938,17.0139,748.708,345.247
2,0,355,18.5156,16.875,748.672,344.94
2,0,356,18.7109,17.2222,748.98,345.719
2,0,357,18.7109,17.2222,748.98,345.719
2,0,358,18.8672,17.5694,749.561,346.339
2,0,359,18.7891,17.2917,750.194,345.789
2,0,360,18.9062,17.5,750.281,346.249
2,0,361,18.8281,17.1528,751.201,345.647
2,0,362,19.1016,17.7778,751.263,346.803
2,0,363,18.7891,17.0139,751.614,345.277
2,0,364,19.2578,18.0556,751.688,347.432
2,0,365,19.375,18.2639,752.073,347.879
2,0,366,19.1797,17.6389,752.928,346.649
2,0,367,19.4531,18.1944,753.459,347.766
2,0,368,19.375,17.9167,754.411,347.206
2,0,369,19.375,17.9167,754.411,347.206
2,0,370,19.3359,17.6389,755.136,346.689
2,0,371,19.6875,18.2639,756.214,348.081
2,0,373,19.8438,18.3333,758.013,348.224
2,0,373,19.8438,18.3333,758.013,348.224
2,0,374,20.1172,18.75,759.26,349.184
2,0,375,20.1172,18.75,759.26,349.184
2,0,376,20.1562,18.6806,760.266,349.044
2,0,377,20.3516,18.8194,761.771,349.439
2,0,379,20.9375,19.5833,765.371,351.194
2,0,379,20.9375,19.5833,765.371,351.194
2,0,380,20.7812,19.0278,766.846,350.012
2,0,381,20.7031,18.75,767.312,349.422
2,0,382,20.9375,19.1667,768.39,350.286
2,0,383,20.9375,18.8889,769.674,349.771
2,0,385,21.3281,19.3056,772.854,350.704
2,0,385,21.3281,19.3056,772.854,350.704
2,0,386,21.4844,19.375,774.6,350.951
2,0,387,21.5234,19.4444,774.562,351.138
2,0,388,21.5625,19.3056,775.99,350.926
2,0,389,21.4844,18.75,777.992,349.726
2,0,390,21.7188,19.0278,780.013,350.31
2,0,391,21.8359,18.9583,781.986,350.323
2,0,392,22.0703,19.1667,784.233,350.786
2,0,394,22.1094,19.0972,785.221,350.627
2,0,394,22.1094,19.0972,785.221,350.627
2,0,395,21.9531,18.2639,787.346,349.038
2,0,396,21.9531,17.9167,789.532,348.331
2,0,397,22.1484,17.9167,792.232,348.426
2,0,398,22.0703,17.4306,793.979,347.474
2,0,399,22.0703,17.4306,793.979,347.474
2,0,400,22.1484,17.2222,796.013,347.101
2,0,401,22.5781,17.9167,798.262,348.555
2,0,403,23.0078,18.4722,801.568,349.777
2,0,403,23.0078,18.4722,801.568,349.777
2,0,405,23.2812,18.4722,805.32,349.944
2,0,405,23.2812,18.4722,805.32,349.944
2,0,406,23.3203,18.4722,805.314,350.005
2,0,407,23.2031,18.0556,806.31,349.033
2,0,408,23.0469,17.2222,808.644,347.432
2,0,410,23.3203,17.1528,812.91,347.448
2,0,411,23.5547,17.2222,815.46,347.662
2,0,411,23.5547,17.2222,815.46,347.662
2,0,412,23.5156,17.1528,815.301,347.479
2,0,413,23.5938,17.1528,816.749,347.504
2,0,414,23.5156,16.6667,817.973,346.537
2,0,415,23.4375,16.1111,819.865,345.464
2,0,417,23.5938,15.9722,822.964,345.271
2,0,417,23.5938,15.9722,822.964,345.271
2,0,418,23.5938,15.9722,822.964,345.271
2,0,419,23.6328,15.9028,823.929,345.152
2,0,420,23.8281,16.0417,825.293,345.558
2,0,421,23.9844,16.25,826.289,346.036
2,0,422,24.0625,16.3889,827.329,346.21
2,0,423,24.3359,16.8056,828.756,347.112
2,0,424,24.2969,16.6667,828.931,346.925
2,0,425,24.2188,16.3889,829.549,346.317
2,0,426,24.1016,15.8333,830.123,345.275
2,0,427,24.0625,15.625,830.795,344.9
2,0,428,24.2578,15.9028,832.192,345.482
2,0,429,24.2578,15.9028,832.36,345.407
2,0,431,24.3359,15.9722,832.969,345.673
2,0,431,24.3359,15.9722,832.969,345.673
2,0,432,24.1406,15.4861,832.951,344.59
2,0,433,24.1406,15.2778,833.402,344.295
1,0,305,21.0547,9.30556,821.837,333.144
1,0,307,21.0547,9.02778,823.615,332.665
1,0,308,21.2891,9.51389,824.233,333.469
1,0,308,21.2891,9.51389,824.233,333.469
1,0,309,21.2891,9.51389,824.233,333.469
1,0,310,21.5625,9.93056,825.284,334.268
1,0,311,21.3672,9.30556,826.114,333.218
1,0,312,21.6797,10.0694,826.635,334.484
1,0,313,21.5625,9.44444,827.526,333.522
1,0,315,21.8359,10,828.671,334.399
1,0,315,21.8359,10,828.671,334.399
1,0,316,21.875,10.0694,829.144,334.562
1,0,317,21.9922,10.0694,830.41,334.6
1,0,318,22.0703,10.1389,831.201,334.762
1,0,319,22.2266,10.3472,832.36,335.086
1,0,321,22.1094,9.93056,832.856,334.379
1,0,321,22.1094,9.93056,832.856,334.379
1,0,322,21.9141,9.16667,833.717,333.202
